text,sentiment
"Bitcoin miners exit China, beat a path to the U.S. as crypto climate shifts",Extreme Fear
Bitcoin Drops Ahead of Looming ‘Death Cross’,Extreme Fear
World Bank rejects El Salvador request for help in adopting bitcoin,Fear
"Bitcoin remains above $40,000, Ether down nearly 3%",Fear
Elon Musk to help crypto miners form Bitcoin Mining Council,Fear
Bitcoin Price Jumps After Elon Musk Says Tesla Could Use It Again,Fear
JP Morgan warns that Bitcoin bear market might be here,Extreme Fear
"Bitcoin falls nearly 6% to $35,210; Ether drops 2.5%",Fear
"Surf and bitcoin, El Salvador beach town rides crypto wave",Extreme Fear
Bitcoin price climbs as Basel panel proposes banking capital rules,Extreme Fear
El Salvador first country to approve bitcoin as legal tender,Extreme Fear
Bitcoin falls below $32K after Colonial Pipeline's ransom recovery,Extreme Fear
El Salvador president wants Bitcoin as legal tender,Extreme Fear
Elon Musk has been dragging Bitcoin where it dreaded to go,Extreme Fear
Elon Musk says Bitcoin is not 'real economy'. Here's what Tesla CEO thinks it is,Extreme Fear
Bitcoin slips after Musk tweets a broken heart emoji with Linkin Park song,Fear
Bitcoin in Repair Mode as Traders Head to Miami; Dogecoin Gains,Extreme Fear
JPMorgan says bitcoin price could decline further before stabilizing:,Extreme Fear
"Bitcoin Price, Foreign ASIC Demand Drive Profitable Q1 for Miner Producer Canaan",Extreme Fear
"RBI clears air on cryptocurrency trading, asks banks to perform customer due diligence",Extreme Fear
The bitcoin racing car will be starting on the front line of the Indy 500 today.,Extreme Fear
"Bitcoin Slides to $35K, ETH to $2.4K on Biden, Environmental Bearishness",Extreme Fear
India’s HDFC Bank Calls Bitcoin a Fad as Exchanges Mull Legal Fight Over Restrictions,Extreme Fear
"Weak PayPal Pump Leaves Market Mostly Flat With BTC at $38K, ETH $2.7K",Fear
"PayPal Will Let Customers Withdraw Crypto, Exec Says",Extreme Fear
Bitcoin Rises to Near $40K After Musk Tweets About BTC Mining’s ‘Promising’ Renewable Usage,Extreme Fear
Bitcoin Holds Short-Term Support; Faces Resistance at $40K,Extreme Fear
"Bitcoin, Ether Now Down 50% From Last Month’s ATH as Rout Resumes",Extreme Fear
"China Breaks Crypto as Bitcoin Falls to $36K, ETH Drops $300 in Two Hours",Extreme Fear
"Bitcoin Falls as China Calls for Crackdown on Crypto Mining, Trading",Extreme Fear
"Capitulation City as Bitcoin Dumps to $31K, ETH to $2K Before Reversal",Extreme Fear
"Ether Climbs, Pushing Past ‘Musk Dip’ as Crypto Volatility Increases",Extreme Fear
Elon Taketh Away – Bitcoin Continues Fall as Options Traders Pile Into Puts,Extreme Fear
"Bitcoin Drops After Musk Suggests Tesla May Sell Holdings, Says It Hasn’t Yet",Fear
"Bitcoin rises 5.6% to $49,337.72",Extreme Fear
It’s ‘Doge Day Afternoon’ as Memecoin Jumps 47%; Ether and Bitcoin Rise,Fear
Bitcoin Falls for Second Straight Day After Tesla Action; Ether Follows,Fear
DeFi Tokens Aave and Uniswap Climb While ETH and BTC Dump,Fear
"Yearn, EOS Rise Over 30% While Ether and Bitcoin Eke Out Small Gains",Neutral
BTC Market Dominance Reaches the Lowest Level since July 2018,Greed
Twitter Scammers Used Elon Musk’s ‘SNL’ Appearance to Reap $100K in Crypto,Greed
‘Call Me the Dogefather’: Elon Musk Explains Crypto to SNL’s Audience,Greed
"Bitcoin Near $58K, Rises After US Jobs Miss but Lags Altcoins",Greed
Gold Rallies as Bitcoin Languishes Around $56K,Greed
"Ethereum Classic Steals Show From Bitcoin, Ether, Even DOGE",Greed
"Bitcoin, Ether Recover From Midday Market Sell-Off as the DOGE Abides",Neutral
"Ether Shoots to $3.3K While Bitcoin Hangs Below $60,000",Greed
Crypto market cap doubles to eye-popping $2.3 trillion in 3 months as mainstream adoption gets nearer,Greed
"A Bitcoin move back through to $58,000 levels would support the broader market.",Greed
Bitcoin Hits $57K After $4.2B Options Expirations; Ether Steadies at $2.7K,Greed
"Bitcoin Near $53K After Major Drop as Ether Tops $2,800 for First Time",Neutral
Bitcoin Stays Near $55K as Ether Hits Brand-New Record Price,Neutral
Bitcoin Over $55K as Ether Hits New All-Time High,Greed
Bitcoin Bounces to $54K as Ether Fees Drop Below Average in Past Week,Neutral
Bitcoin climbs 10% as cryptocurrency market attempts a comeback from last week’s plunge,Fear
"Bitcoin, BTC to USD, fell by 1.91% on Saturday. Following on from a 1.17% decline on Friday, Bitcoin ended the day at $50,161.0.",Fear
Bitcoin Steadies After $300B Market Cap Dump on Taxation Trepidation,Fear
Bitcoin Leads Price Sell-Off Across Crypto Markets as Biden Tax Plan Bites,Greed
Bitcoin in Neutral at $55.5K as Ether Continues Bull Run,Greed
"Bitcoin Flat at $56.7K, Ether Rises and It Wasn’t Dogeday’s Afternoon",Greed
Bitcoin Recovers From Sunday Slump to $56K as Doge Jumps 19%,Greed
"After yesterday’s sell-off, a Bitcoin move back through to $60,000 levels would deliver support to the broader market.",Greed
"Bitcoin Price Falls $8K to 3-Week Low, Altcoins Crash",Extreme Greed
"Bitcoin Near $62K, Recovers Slowly From Turkey Crypto Payment Ban; Dogecoin Jumps",Extreme Greed
Bitcoin Price Drops as Turkey Bans Crypto Payments Amid Currency Crisis,Extreme Greed
"Bitcoin, Ether Near Record Prices as Crypto Market Celebrates Coinbase’s First Trading Day",Extreme Greed
"Bitcoin, Ether Steady Near Record Highs, as All Eyes on Coinbase Listing",Greed
Bitcoin Near $60K as Coinbase Listing Stirs Fresh Crypto Hype,Greed
"Bullish On Bitcoin, Bloomberg Predicts $400,000 Price By 2022",Greed
Bitcoin bombshell: Crypto king may pole vault to eye popping $400k mark this year with over 6x growth,Extreme Greed
"Bitcoin should steer clear of sub-$57,000 levels. The second major support level at $57,070 should limit the downside.",Greed
"Bitcoin Near $58K, Reverses Two-Day Losses Despite Lower Trading Volume",Greed
Bloomberg Foresees Bitcoin Rallying to $400K This Year,Greed
Bitcoin Futures Premium Rises Again Despite Bitcoin’s Relatively Flat Performance,Greed
"Bitcoin, Fiat Currencies Unnerved Even as Goldman Ditches Short USD Trade",Greed
‘Satoshi’s Birthday’: April 5 Is a Day to Be Thankful for Bitcoin,Greed
Binance’s Crypto Derivatives Platform Sees Record Open Interest of $10B,Greed
Ether Jumps to All-Time High as Bitcoin Stalls Despite JPMorgan’s $130K Call,Greed
Bitcoin Stuck Below $60K; Cardano’s Sixfold 1Q Gains Led CoinDesk 20,Greed
"Bitcoin Pushes $60K as Goldman, BlackRock Moves Signal Adoption",Greed
Traders Ratchet Up Derivatives Bets as Bitcoin Mounts Rally,Extreme Greed
"Bitcoin, Ether Gain After Visa Deal as Stocks Struggle With Archegos Margin Call",Greed
"Bitcoin Breaks Out, Near $58K, After Visa Adds Support for Stablecoin USDC",Greed
"If History Is Any Indication, $200,000 Bitcoin Is Coming In 2021",Greed
Miners Are Selling More Bitcoin Than They Are Mining,Greed
Bitcoin Slips to $52K; All Eyes on Friday’s $6B Options Expiry,Neutral
"Bitcoin Traders Keep Buying the Dip, Blockchain Data Suggests",Greed
"Musk Says Teslas Can Now Be Bought Using Bitcoin That Will Be Stored, Not Turned to Fiat",Greed
"Market Wrap: Bitcoin Near $56K, Struggles With Flat Activity on Exchanges",Greed
Veteran Analyst Peter Brandt Expects Bitcoin to Reach $200K,Greed
"Barring an extended sell-off on the day, Bitcoin should steer clear of sub-$56,500 levels. The second major support level sits at $56,426.",Greed
"Barring an extended sell-off on the day, Bitcoin should steer clear of sub-$55,000 levels. The second major support level sits at $54,733.",Greed
Bitcoin Loses Steam After Briefly Touching $60K,Greed
Bitcoin Price Gets Fed Boost but Bond Yields Could Play Spoilsport: Analysts,Greed
Coinbase Registers 114.9M Shares for Public Listing,Greed
Billionaire Investor Howard Marks Warming to Bitcoin,Greed
iginex Anticipating Bitcoin Rise to $175K by End of 2021,Extreme Greed
Crypto’s next big thing raises questions while the price surges,Extreme Greed
Bitcoin’s Winning Streak Ends as Prices Struggle to Break Record,Greed
Bitcoin intraday trading pattern emerges as institutions pile in,Greed
Jack Dorsey to convert proceeds from first ever tweet's auction to bitcoin,Greed
"Bitcoin price today March 10: Suddenly spiked above 55,000 USD",Greed
"Bitcoin nears $54,000 level, highest in two weeks as big-money bets flow",Extreme Greed
Norwegian Oil Billionaire Joins the Bets on Bitcoin,Extreme Greed
"Bitcoin is not ‘overbought’, may reach $75,000 price before current bull cycle ends, says research",Extreme Greed
Goldman Sachs Sees Huge Institutional Demand for Bitcoin — 76% of Clients Say BTC Price Could Reach $100K This Year,Extreme Greed
Bitcoin Rebounds From Lows; MicroStrategy Purchases More Tokens,Extreme Greed
"Bitcoin Could Reach $1 Million or More, Kraken CEO Says",Extreme Greed
Bitcoin rebounds after being ruffled by SEC confirmation hearing,Extreme Greed
"Bitcoin rises as Citi, Goldman find crypto allure hard to resist",Extreme Greed
"Bitcoin rises 6% as risk assets rally; Citi says at a ""tipping point""",Fear
Bitcoin extends retreat from record high to hit lowest in 20 days,Greed
Bitcoin slides in worst weekly drop since march amid selloff,Greed
Biggest Bitcoin fund sinks to a discount as traders flee,Greed
JPMorgan Says Investors Could Make Bitcoin 1% of Portfolios,Extreme Greed
"Sinking Bitcoin, Tesla shares and other market favorites jolt investors",Extreme Greed
"Bitcoin extends its slide, tumbling below $50,000",Extreme Greed
"Bitcoin slumps on Monday after surging to record high of $58,354 a day earlier",Extreme Greed
Bitcoin hits fresh high,Extreme Greed
"Bitcoin surges to record $56,620, Ether follows",Extreme Greed
"Bitcoin nears $1 trillion market value as crypto jump tops stocks, gold",Extreme Greed
No 2. cryptocurrency ethereum soars to record high as bitcoin rally continues,Extreme Greed
"Bitcoin jumps to a new high above $51,700, extending its year-to-date rally to 78%",Extreme Greed
"Bitcoin breaks $50,000 for the first time as record-shattering 2021 rally extends to 74% amid Wall Street adoption",Extreme Greed
Bitcoin’s latest record run is less volatile than the 2017 boom,Extreme Greed
"Bitcoin nears $50,000 as it reaches record",Extreme Greed
Candidate for Mayor Andrew Yang Plans to Make New York City a Bitcoin Hub,Extreme Greed
Jack Dorsey and Jay Z invest 500 BTC to make Bitcoin ‘internet’s currency,Extreme Greed
"Bitcoin hits record as Mastercard, BNY Mellon embrace crypto",Extreme Greed
"Bitcoin slips below $46,000, ether hits all-time high to cross $1,800",Extreme Greed
"Elon Musk’s Tesla Invests $1.5 Billion in Bitcoin, Will Accept the Cryptocurrency for Purchases",Extreme Greed
"As Bitcoin Hits $40K, India’s Crypto Exchanges Clamp Down On Illicit Trades",Extreme Greed
"Bitcoin rally takes market cap of over 6,000 cryptocurrencies to whopping new high of $1.24 trillion",Extreme Greed
Bitcoin rally takes crypto market value to another record,Extreme Greed
Bitcoin Rises to $38.3K While Ether’s New High Takes Spotlight,Extreme Greed
"Here We Go Again... As Bitcoin Nears $40,000, Tesla CEO Elon Musk Has Sent The Dogecoin Price Sharply Higher",Extreme Greed
"Bitcoin reclaims $36,000 mark; ether hits all-time high to top $1,500",Extreme Greed
"Bitcoin Rises to $35.8K, Ether Hits New High and DeFi Crosses $28B Locked",Extreme Greed
Price of bitcoin jumps after Elon Musk says it is 'a good thing',Extreme Greed
Bitcoin Falls Back to $32K as Elon Musk’s Bio Change Fades Into Memory,Extreme Greed
World's Largest Hedge Fund Bridgewater Has Crypto Plans — Founder Ray Dalio Calls Bitcoin 'One Hell of an Invention',Extreme Greed
"Elon Musk Bitcoin tweet sparks massive rally, taking it above $35,000",Extreme Greed
"Bitcoin price back below $30,000 level, but traders stay bullish",Greed
Bitcoin Drops to $29.9K While DeFi Hits Record $29B Locked,Extreme Greed
Market Wrap: Bitcoin Slips to $30.8K While Investors Plow BTC Back Into DeFi,Greed
"Bitcoin return to $40,000 in doubt as Grayscale fund flows slow",Greed
"Believe it or not, bitcoin has become a good long-term investment",Greed
"Bitcoin Whales Grow After Price Bottoms, Analyst Says 'Coins Are Moving to Very Strong Holders'",Greed
Bitcoin’s volatile week rattles faith in Crypto resurgence,Fear
Bitcoin Slumps 10 Percent as Pullback From Record High Gathers Pace,Greed
Bitcoin Now the Most Crowded Trade – Labeled a 'Bubble' in Bank of America Survey,Extreme Greed
Bitcoin overtakes tech companies as most crowded trade: Survey,Extreme Greed
Bitcoin Struggles to Recover After Biggest Weekly Price Loss Since September,Extreme Greed
"Demand for Crypto Soars: Bitcoin Funds Break Records, Goldman Sachs Wants In",Extreme Greed
Bitcoin swings undermine CFO case for converting cash to cryptocurrency,Extreme Greed
"Bitcoin ends a choppy week of trading with prices below $40,000",Extreme Greed
"Bitcoin prices roar back towards $40,000",Extreme Greed
Bitcoin Claws Back to $36.4K While 25% of Ether Options Will Expire in March,Extreme Greed
Market Wrap: Bitcoin Hovers Around $34.2K While Options Traders Pay Up for Possible ETH Upside,Extreme Greed
Bitcoin tumbles 20% in worst crash since March,Extreme Greed
Bitcoin hits one-week low as rising U.S. yields dent rally,Extreme Greed
Bitcoin bull run continues as price soars nearly 4X in 3 months; market cap crosses $730B mark,Extreme Greed
"Bitcoin crosses $40,000 mark, doubling in less than a month",Extreme Greed
"Bitcoin tops $40,000 for first time, pushing cryptocurrency market value past $1 trillion",Extreme Greed
"As Bitcoin crosses $34,000, altcoins keep pace",Extreme Greed
"Bitcoin emergence as 'digital gold' could lift price to $146,000, says JPMorgan",Extreme Greed
"Smaller cryptocurrencies are surging after bitcoin’s wild rally took it past $34,000",Extreme Greed
"Bitcoin Surges Above $30,000 For First Time Ever",Extreme Greed
"Bitcoin Price Exceeds Record $31,000",Extreme Greed
"Bitcoin Crosses $29,000 Setting New Record For 2020 Rally",Extreme Greed
Bitcoin price quadruples amid pandemic year,Extreme Greed
"Bitcoin surges to record $28,500, quadrupling in value this year",Extreme Greed
Bitcoin performed 10 times better than gold in 2020,Extreme Greed
"Bitcoin on Longest Winning Run Since 2019 After Topping $28,000",Extreme Greed
"Bitcoin sprints over $27,000 mark; rises over $2,500 in 2 days",Extreme Greed
"Bitcoin Tops $26K for First Time, Less Than a Day After Passing $25K",Extreme Greed
"Bitcoin Tops $24.6K on Christmas Day, Sets New All-Time High",Extreme Greed
Bitcoin Crushes Doubters as 224% Rally Proves It’s Here to Stay,Extreme Greed
Bitcoin hits all-time high,Extreme Greed
Bitcoin rival surges 35% after Elon Musk tweets about it,Extreme Greed
Musk Inquires About Moving ‘Large Transactions’ to Bitcoin,Extreme Greed
"Bitcoin’s December rally continues as price breaks $24,000",Extreme Greed
"Bitcoin Price Briefly Touches $24,000",Extreme Greed
"Cryptocurrency-linked stocks surge as Bitcoin hits $23,000 milestone",Extreme Greed
"Bitcoin surges past $20,000, erasing 3 years of deep losses",Extreme Greed
"Bitcoin breaks above $20,000 for first time",Extreme Greed
Bitcoin Tests $19.5K; Ether Options Interest in Doldrums,Extreme Greed
Bitcoin Pushes Past $19.2K; Ether at 3% of BTC Price,Extreme Greed
JPMorgan Says MassMutual’s Bitcoin Foray Signals Widening Demand,Extreme Greed
Microstrategy Completes $650 Million Capital Raise to Fund More Bitcoin Purchases,Extreme Greed
169-Year-Old MassMutual Invests $100 Million in Bitcoin,Extreme Greed
MicroStrategy Is Raising Money to Buy More Bitcoin,Extreme Greed
"Bitcoin Dropped Below $18,000 This Morning—What's Next?",Extreme Greed
MicroStrategy plans to raise $400 million to buy more bitcoin,Extreme Greed
"Bitcoin could skyrocket to $300,000 by end of 2021 – ‘not out of the question’",Extreme Greed
Shark Tank's Kevin O'Leary Ready to Put 5% of His Portfolio in SEC-Approved Bitcoin ETF,Extreme Greed
"Microstrategy Buys More Bitcoin, Now Holding BTC Worth Over $780 Million in Treasury",Extreme Greed
"Bitcoin surges higher, and the IRS wants to know who’s cashing out",Extreme Greed
Bitcoin Lingers Around $19.4K While ETH/BTC Pairing Hits Bull Mode,Extreme Greed
Bitcoin Setting New Record Amid Pandemic,Extreme Greed
"Bitcoin peaks at record high close to $20,000",Extreme Greed
"Bitcoin surges to record above $19,800, topping 2017 high",Extreme Greed
"Bitcoin Soars Over 5%, Hovers Near $18,200 Mark Amid Broad Rally",Extreme Greed
China seizes £2.5billion of Bitcoin as Beijing set to 'dominate' future global economy,Extreme Greed
Indian cryptocurrency startups’ victory bigger than the price of Bitcoin,Extreme Greed
Bitcoin price plunges over 10% to stage Thanksgiving correction,Extreme Greed
"Bitcoin’s dream run expected to continue as price crosses $19,000",Extreme Greed
"Bitcoin hits $19,000 for first time in 3 years, up 37% this month",Extreme Greed
Bitcoin Briefly Drops Below $18K While ETH Uncouples From BTC,Extreme Greed
"Bitcoin revival unleashes animal spirits and $300,000 forecast",Extreme Greed
Paypal Bought 70% of All Newly Mined Bitcoin Last Month as Demand Rockets,Extreme Greed
Bitcoin Hits $18.8K as Total Crypto Locked in DeFi Passes $14B,Extreme Greed
Bitcoin Hangs Around $18K While Ether Locked in DeFi Declines,Extreme Greed
"Bitcoin Extends Bull Run, Jumps 10% To Touch $18,450 Mark",Extreme Greed
"Bitcoin tops $17,000 for first time since December 2017",Extreme Greed
Bitcoin Surges As Cryptocurrency Reaches An All Time High,Extreme Greed
This bitcoin mining pool threatens to betray the project’s core principles,Extreme Greed
Bitcoin Rally Falters as Price Drops Below $16K,Extreme Greed
Bitcoin Fails to Reach $16.5K; Wrapped BTC Hits $2 Billion,Extreme Greed
Bitcoin Price Breaks Above $16K for First Time in 3 Years,Extreme Greed
Bitcoin Fails to Break $15.9K; Over 50K ETH Staked on Eth 2.0 Contract,Extreme Greed
Bitcoin Flat at $15.3K; Crypto Locked in DeFi at All-Time High,Extreme Greed
"Bitcoin Hits Technical Hurdle After Failing to Breach $16,000",Extreme Greed
Bitcoin as Alternative to Gold: JPMorgan Report,Extreme Greed
Veteran Investor Bill Miller Says Every Major Investment Bank Will Own Bitcoin or Something Like It,Extreme Greed
"Resistance Is Futile as Bitcoin Breaches $15K, Crypto Gets Greedy",Extreme Greed
"Bitcoin Jumps Above $14.5K, Taking 2020 Gains to Over 100%",Greed
Bitcoin Jumps to $14.2K; Ethereum Gas Usage Grows 113% YTD,Greed
"Bitcoin Just Rocketed Over $14,000",Greed
Bitcoin Revisits $13.5K After Posting Best Month Since April,Greed
Bitcoin Is Back Trading Near Three-Year Highs,Greed
"Bitcoin hits $14,000 for the first time since early 2018",Greed
Bitcoin Tests $13.6K as DeFi Total Value Locked Dips Below $11B,Greed
PayPal Gets Into Bitcoin But Draws Mixed Response,Greed
"Bitcoin price sees pullback, but bulls still marching toward $20K",Greed
"Bitcoin Jumps to $13.7K, Nearing 2019’s High; Ether Volatility Reverses Course",Greed
PayPal launches Crypto service as institutions keep betting on Bitcoin,Greed
PayPal’s Bitcoin Strategy Is Not About Bitcoin,Extreme Greed
JPMorgan turns bullish on Bitcoin citing ‘potential long-term upside’,Greed
Bitcoin Pulls Back From $13K While Ether Falls on DeFi Cooling,Greed
Bitcoin surges to a 2020 high on PayPal’s embrace,Greed
Bitcoin prices surge to highest since 2018,Greed
Bitcoin Price Breaches $12K for First Time Since August,Greed
Bitcoin Bounces to $11.8K; Over 10K BTC Locked in Harvest Finance,Greed
"Bitcoin Adoption Soars in Turkey Amid High Inflation, Lira Hitting Record Low",Greed
"Institutions Take Record Bullish Bets in Bitcoin Futures, Shrugging Off Exchange Missteps",Greed
$22M in Bitcoin moves from Huobi to OKEx despite withdrawal freeze,Neutral
Bitcoin Remains Weak During Quiet Trading Week,Greed
Bitcoin Slips to $11.2K; Uniswap Flows Dominate Ether,Neutral
Stimulus Winning as Biden Surges in Polls and Bitcoin Eyes $12K,Greed
Bitcoin Down 1% After Biggest Weekly Price Gain Since July,Neutral
More investors HODL Bitcoin in anticipation of a 2021 BTC bull market,Greed
"Bitcoin runs crypto markets, but DeFi tokens don’t follow its lead",Neutral
Bitcoin Hits $11K as Square Exposes $2.3T Corporate Money Pot,Neutral
Square buys $50 million in bitcoin as part of larger investment in cryptocurrency,Fear
Analysts Can’t Agree on What Prompted Big Spike in New Bitcoin Addresses,Fear
"Bitcoin To Hit $100,000 in Five Years as Demand and Adoption Increase",Neutral
Bitcoin Gains Steadily to $10.7K; Ethereum Fees at 2-Month Low,Fear
"Bitcoin Volatility Hits 23-Month Low as the Cryptocurrency Shrugs Off BitMEX, Trump’s Illness",Fear
Bitcoin’s rising correlation with stocks debunks haven narrative,Fear
Satoshi Nakaboto: ‘Ethereum miners were 6x more profitable than Bitcoin miners in September’,Fear
Bitcoin Posts Biggest Monthly Price Loss Since March,Fear
Bitcoin price risks even bigger pullback in Q4 after sharp rejections ,Neutral
Market Wrap: Bitcoin Holds at $10.7K; Uniswap Volume Drops,Fear
Market Wrap: Bitcoin Hits $10.9K; Ether Options Signal Short-Term Volatility,Fear
"Bitcoin Sets Record 63 Straight Days Closing Above $10,000",Neutral
Bitcoin Miners Are Using New Strategies to Hedge Risks,Fear
Market Wrap: Bitcoin Sticks to $10.7K; DeFi Site dForce Doubles TVL in 24 Hours,Fear
"Bitcoin price ‘worst-case scenario’ is now $7,000 — trader Tone Vays",Fear
Market Wrap: Bitcoin Drops to $10.2K; Scaling Solution xDai Doubles in Value Locked,Fear
Market Wrap: Bitcoin Clings to $10.4K; Ether in Smart Contracts Highest Since 2016,Fear
"Market Wrap: Bitcoin Dips to $10.1K, Ether Drops to $330 on Sell-Off Session",Neutral
World’s largest sovereign wealth fund indirectly holds almost 600 Bitcoin,Neutral
"Market Outlook: Bitcoin Breaks $11K, Whales Refuse to Sell, Downside Risk Remains",Neutral
Bitcoin Rises Back to $11K Despite Signs of Indecision in the Market,Neutral
Bitcoin Supply on Ethereum Tops $1B,Neutral
"All Eyes on Fed Reserve Rate Announcement, as Bitcoin Fights for $11K",Fear
"MicroStrategy Buys $175M More in Bitcoin, Upping BTC Holdings to $425M",Neutral
Market Wrap: Bitcoin Passes $10.7K; Ethereum Gas Usage Hits Record September Highs,Fear
Bitcoin and APMs Continue to Gain Popularity,Fear
"Bitcoin whale cluster at $10,570 is the most important level right now",Fear
Bitcoin Holds Firm Above $10K but Strong Bounce Proves Elusive,Fear
Square Launches Cryptocurrency Open Patent Alliance To Protect Innovation,Fear
Correlation between bitcoin and S&P500 nears all time high,Fear
Bitcoin and Ethereum HODLers Step in to Save Market,Fear
"Investors Buying Bitcoin Amid Price Slump to Near $10K, Data Shows",Fear
Bitcoin Dominance Slides Losing 10% in the Last 100 Days,Fear
Bitcoin’s Plummet Isn’t All Doom And Gloom,Fear
"V-Shaped Recovery From Bitcoin’s Biggest Drop Since March Unlikely, Say Analysts",Fear
Bitcoin Risks Deeper Price Pullback as Exchange Inflows Spike,Extreme Greed
Market Wrap: Bitcoin Falls to $11.1K; Ethereum Miners at Record Fee Percentage,Extreme Greed
Market Wrap: Bitcoin Breaks $12K; Uniswap Crosses $1.5B Locked,Greed
Market Wrap: Bitcoin Over $11.7K; Uniswap Passes $500M in Daily Volume,Greed
